language;sample;класс;type
FL;Я полюбила в языки (FL, 4597);эмоции;kuda_otkuda
FL;Познакомиться в историю города (FL, 6193);эмоции;kuda_otkuda
FL;У неё никакие связи в Россию (FL, 4754);контакт;kuda_otkuda
FL;Идёт на свою дорогу в жизни (FL, 6236);про_метафора;kuda_otkuda
FL;Бегать с скоростью к стене, и все (FL, 5007);про_метафора;kuda_otkuda
FL;Ходят на улице мешая другим и не с дороги идут (FL, 6204);про_метафора;kuda_otkuda
FL;И также научилась смеяться на его шутки (FL, 4508);коммуникация;kuda_otkuda
FL;Встал рано сегодня утром на то, что у меня зуб сильно болел (FL, 4453);причина;kuda_otkuda
FL;Просыпающего на новый день (FL, 4596);другой;kuda_otkuda
FL;Готовлясь на переезд, я морально себя готовила к тому, что будет не легко (FL, 4597);другой;kuda_otkuda
HL;"Паниковала очень много к вступительном экзаменом  (HL, 4277); ";эмоции;kuda_otkuda
HL;Разбуживают меня к работе (HL, 4314);другой;kuda_otkuda
FL;Языковые явления, на которые она вернется снова (FL, 5041);про_метафора;kuda_otkuda
FL;Королева взглянула ко мне, и вдруг я опала в обморок (FL, 6154);зрение;kuda_otkuda
FL;Никогда не забывал говорить спасибо, смотрел ко мне в глаза (FL, 4798);зрение;kuda_otkuda
HL;У меня наконец компания на путешествие (HL, 4277);абс_сущ;kuda_otkuda
FL;Когда я начала мой путь на учебу (FL, 4636);про_метафора;kuda_otkuda
FL;У таких людей есть видение в будущее и ценност (FL, 5091);зрение;kuda_otkuda
FL;Теперь учёба заполняет на мои будни, а о будущем кто знает (FL, 5067);про_метафора;kuda_otkuda
HL;В Россию окружает просто ужасная погода, очень мало солнечных дней в году (HL, 4266);про_метафора;kuda_otkuda
FL;В Финляндии неформальнее — мы говорим на ты в преподавателей и начальником (FL, 4987);коммуникация;kuda_otkuda
HL;Он взял много вдохновения от голландского флага на российский флаг (HL, 7111);другой;kuda_otkuda
FL;Когда учительница старалась тянуть меня за рукав, я укусил за неё (FL, 6216);контакт;kuda_otkuda
HL;С уважением относиться к себе и другим и быть благодарной к всему (HL, 4384);эмоции;kuda_otkuda
FL;"Влюбившихся на одну женщину (FL, 4470); ";эмоции;kuda_otkuda
FL;Он влюблён на другую женщину (FL, 4713);эмоции;kuda_otkuda
FL;Виноват на то, что политики такие (FL, 4901);эмоции;kuda_otkuda
FL;Доволна в своя жизн (FL, 4486);эмоции;kuda_otkuda
FL;На что человек недоволен (FL, 4975);эмоции;kuda_otkuda
FL;Доволен к моей жизни (FL, 4837);эмоции;kuda_otkuda
FL;Проста верят в друзей или в родителей (FL, 4895) ;эмоции;kuda_otkuda
FL;К их словам действительно можно доверять (FL, 4602);эмоции;kuda_otkuda
FL;Я была в шоке, не могла верить в свои уши (FL, 4969);эмоции;kuda_otkuda
FL;Ребенок не понимает почему так обращаются на его (FL, 4975);эмоции;kuda_otkuda
HL;Все согласны на то, что интернет облегчает всем поиск информации (HL, 4259);эмоции;kuda_otkuda
FL;Я бил его на лицо (FL, 6277);контакт;kuda_otkuda
