sample;language;text_num;error_phrase;type
Он не любит ходит в кино или в театре  (FL, 5049);FL;5049;ходить в театре;gde
Он еше работает и любит заботиться о саду и ходить в лесу  (FL, 6074);FL;6074;ходить в лесу;gde
Когда я ищу кинощущений, стоит ходить в кинотеатре  (FL, 6109);FL;6109;ходить в кинотеатре;gde
Я не так люблю делать покупки, и собственно ненавижу ходить в универмагах  (FL, 6175);FL;6175;ходить в универмагах;gde
Она взяла меня с собой, когда она ходила по делам в городе  (FL, 4629);FL;4629;ходила в городе;gde
и до этого они обычно ходят в детском саду  (FL, 4636);FL;4636;ходят в детском саду;gde
Посколку я помню, я ходила в детском саду, который находился недалеко  (FL, 4636);FL;4636;я ходила в детском саду;gde
Я никогда не ходил в детском саду  (FL, 4877);FL;4877;не ходил в детском саду;gde
Он ходит на вогзале пешком и езждит на електричке в чентре города  (FL, 4930);FL;4930;ходит на вокзале;gde
Он ходит на вогзале пешком и езждит на електричке в чентре города  (FL, 4930);FL;4930;ездит в центре города;gde
В четыре часов он выидет из университете и ходит в магазине  (FL, 4521);FL;4521;выйдет из университете;gde
В четыре часов он выидет из университете и ходит в магазине  (FL, 4521);FL;4521;ходит в магазине;gde
Я хожу в магазине почти каждый день  (FL, 4603);FL;4603;хожу в магазине;gde
Обычно я хожу в магазине Siwa, потому что это недалеко от моего дома  (FL, 4603);FL;4603;хожу в магазине Siwa;gde
Мама любит японскую еду и мы тоже ходили в ресторанах  (FL, 4641);FL;4641;ходили в ресторанах;gde
Я была очень рада, когда я могла начать ходить в школе  (FL, 4680);FL;4680;ходить в школе;gde
Я ходила в школе пешком с моим другом  (FL, 4680);FL;4680;я ходила в школе;gde
Один год раньше я ходила в подготовительном классе в обычном детском саду (FL, 4500);FL;4500;ходила в подготовительном классе ;gde
В течение многих лет, я хотел бы ходить в первый раз в этом магазине  (FL, 6177);FL;6177; ходить в первый раз в этом магазине ;gde
Я помню, как мы зимой 2001 года вместе ходили в матчах хоккея с мячом  (FL, 6274);FL;6274;вместе ходили в матчах хоккея с мячом ;gde
Я всегда люблю ходить в школе  (FL, 4680);FL;4680;люблю ходить в школе ;gde
Интересуется она физкультурой и 2 3 раза в недели ходит в спортивном центре  (FL, 4754);FL;4754;ходит в спортивном центре ;gde
Саша возвращается на автобусе домой и ходит еще в магазине  (FL, 4785);FL;4785;ходит еще в магазине ;gde
Особенно раньше я ненавижу ходить в все магазинах, но сейчас это легче  (FL, 4821);FL;4821; я ненавижу ходить в все магазинах;gde
Я хожу в гимназии с художественным уклоном  (FL, 4858);FL;4858;я хожу в гимназии;gde
До переезда я ходила в детском саду в Вантаа, и мне нравилось  (FL, 6226);FL;6226; я ходила в детском саду ;gde
Он служил в армии и ездил в экспедициях в Восточном Сибири  (FL, 4767);FL;4767; ездил в экспедициях в Восточном Сибири ;gde
Раньше он работал в Лондонском банке и много ездил в командировках  (FL, 4769);FL;4769;много ездил в командировках ;gde
Всё чаще люди ездят за границей  (FL, 6106);FL;6106;люди ездят за границей ;gde
Я обычно в доме, но иногда езжу за границей  (FL, 6193);FL;6193;иногда езжу за границей ;gde
А во время летних каникул я вообще делаю больше, часто езжу за границей  (FL, 6192);FL;6192;надо ездить на работе;gde
Но его надо ездить на работе после каждого 6 дня  (FL, 5033);FL;5033;Мы тоже ездили в России ;gde
Мы тоже ездили в России много раза  (FL, 6124);FL;6124;Мы тоже ездили в России ;gde
Поэтому она, все же, часто ездит в России  (FL, 4471);FL;4471;часто ездить в России;gde
Два месяца назад я ездила в Англии и это было самая хорошая поездка моей жизни  (FL, 4664);FL;4664;я ездила в Англии;gde
На каникулах я люблю ездить куда нибудь, или в Финляндии или за границей  (FL, 4553);FL;4553;я люблю ездить за границей;gde
Как часто вы ездите в Финляндии?  (FL, 6115);FL;6115;вы ездите в Финляндии;gde
Почему мой дом гнездо мышь, подумает человек и собирается идти снова на втором этаже и звонит пестконтролу  (FL, 4531);FL;4531;идти снова на втором этаже;gde
Он положил еду на столе в столовый и идут пол лестнице на втором этаже  (FL, 4531);FL;4531;идут по лестнице на втором этаже;gde
После лекциях я либо иду на работе, или домой  (FL, 5033);FL;5033;иду на работе;gde
Я еду в кинотеатре  (FL, 4938);FL;4938;я еду в кинотеатре;gde
Потом я иду в станции метро и еду до центра  (FL, 6224);FL;6224;иду в станции метро;gde
В партии идёт много членов, и поэтому она сильная  (FL, 5063);FL;5063;в партии идет;gde
и автобусе с баней, с которым возможно ехать в России  (FL, 4709);FL;4709;ехать в России;gde
Две мыши идут в обоих плечах человека  (FL, 6156);FL;6156;идут в обоих плечах;gde
Идя на улицах красивого Хельсинки, вижу вокруг себя всякие люди  (FL, 6209);FL;6209;идя на улицах;gde
В столовой одна мышь бежит на картине  (FL, 6156);FL;6156;бежит на картине;gde
Я буду лететь в Великобритании 13? ого октября  (FL, 5024);FL;5024;лететь в великобритании;gde
Я также люблю ходить в магазинах за границей  (FL, 4546);FL;4546;ходит в магазинах;gde
Мне интересно ходить в магазинах за границей  (FL, 4498);FL;4498;интересно ходить в магазинах;gde
В 2005 году я лазила в монт бланке  (FL, 4481);FL;4481;лазила в монт бланке;gde
Саша заходит в магазине и купить все нужные продукты  (FL, 4929);FL;4929;заходит в магазине;gde
В четыре часов он выходит из университета и заходит в магазине  (FL, 4930);FL;4930;заходит в магазине;gde
Проходил человек в доме и послушал  (FL, 4531);FL;4531;проходил в доме;gde
Один раз в месяц я схожу в Петербурге, где я останавливаю около трёх дней  (FL, 4699);FL;4699;схожу в Петербурге;gde
Он приходит в университете в восемь пятьнадчать часов  (FL, 4930);FL;4930;приходит в университете;gde
Сию минуту я вхожу в месте как Стокманн я буду крайне беспокойной  (FL, 6175);FL;6175;вхожу в месте;gde
Я выхожу с друзьями на улице, встречаю людей, разговариваю с ними  (FL, 5029);FL;5029;выхожу с друзьями на улице;gde
Саша тоже ухожу на вечернем ходом  (FL, 5035);FL;5035;ухожу на вечернем ходе;gde
и мне в первой очереди приходит на голове мелкая преступность завершена наркоманамы  (FL, 4973);FL;4973;приходит на голове;gde
Мы обедали в одном кафе и после обеда мы решили пойти на рынке  (FL, 4903);FL;4903;пойти на рынке;gde
Когда?нибудь я была за границей мне обязательно надо пойти на ринке, где продаются местные и свежие продукты и всего чудесного  (FL, 6180);FL;6180;пойти на рынке;gde
Саша, поидем в парке?  (FL, 4532);FL;4532;пойдем в парке;gde
Мы переехали в феврале, и я пошла в детском саду полгода в Хельсинки  (FL, 6226);FL;6226;я пошла в детском саду;gde
Я пошли в школе в обычном возраст, в семь лет  (FL, 5082);FL;5082;я пошли в школе;gde
Я пошли в школе, когда мне было семь лет, как обычно в Финляндии  (FL, 4609);FL;4609;я пошли в школе;gde
Обычно я зайду в магазине, например Lidl, после уроки в университете  (FL, 4817);FL;4817;я зайду в магазине;gde
Утром перед бурей мать семья сделала неторопливый завтрак для своих детей, а отец ушел на работе очень рано  (FL, 5032);FL;5032;ушел на работе;gde
До 1943 года увышли на Севере, в 1944 назад в СССР, Отец и семья в Ярославскую область  (FL, 4673);FL;4673;увышли на севере;gde
Когда моя мама была ребёрок, её семья часто переезжала в других городах  (FL, 4913);FL;4913;переезжала в других городах;gde
они решили предлагать их переехать в чердаке, где всё было бы теплее  (FL, 4799);FL;4799;переехать в чердаке;gde
Не хотите мне сказать, как проехать в центре города?  (FL, 6149);FL;6149;проехать в центре города;gde
Двое поросята убегал во дворе, когда мы открывали двери  (FL, 4925);FL;4925;убегал во дворе;gde
Мы часто играли во дворе или убегали в лесу, запрещённой нам зону  (FL, 6238);FL;6238;убегали в лесу;gde
Интересна как Екатерина II была бедная, когда она приехала в России  (FL, 4485);FL;4485;приехала в России;gde
Он оригинально из Франции, но приехал в Финляндии уже лет двадцать назад  (FL, 4578);FL;4578;приехал в Финляндии;gde
К. никогда не пошла в гимназии, и она жила у родителей  (FL, 6088);FL;6088;не пошла в гимназии;gde
Ольга переехала из Финляндии в России четыре лет назад  (FL, 6124);FL;6124;переехала в России;gde
В каком году ты переехала в России?  (FL, 6124);FL;6124;переехала в России;gde
Когда приехал в России, всегда surprise, surprise когда, ну, не работать вещь  (FL, 9099);FL;9099;приехал в России;gde
В 1989 году из?за влиянием перестройки это стала возможно гражданы ГДР въездит в западное Германии через Австрия и Венгрия  (FL, 4910);FL;4910;въездит в Германии;gde
Я пошла в обычную гимназии, но всё же я учила русский язык с студентами из школы Восточной Финляндии  (FL, 6231);FL;6231;пошла в обычную гимназии;gde
Я до того момента, когда уехал учиться в Петербурге, жил в маленьком городке  (FL, 6327);FL;6327;уехал учиться в Петербурге;gde
Там я проводила год и потом решила уезжать учиться в Швеции  (FL, 6538);FL;6538;уезжать учиться в Швеции;gde
Всё чаще люди ездят за границей  (FL, 6106);FL;6106;ездят за границей;gde
А во время летних каникул я вообще делаю больше, часто езжу за границей  (FL, 6192);FL;6192;езжу за границей;gde
Я обычно в доме, но иногда езжу за границей  (FL, 6193);FL;6193;езжу за границей;gde
Во время летных каникул я всегда хочу ездить куда?нибудь за границей  (FL, 6189);FL;6189;ездить за границей;gde
На каникулах я люблю ездить куда?нибудь, или в Финляндии [1]или за границей  (FL, 4554);FL;4554;ездить за границей;gde
Интервьюер: Какие у вас были в зтом году визиты за границей?  (FL, 6127);FL;6127;году визиты за границей?;gde
Для меня самый лучший вид отдыхать — это ездить за границей, в какую?то новую страну  (FL, 5057);FL;5057;ездить за границей;gde
Один любит отдыхать доме, другой хочет ездить куда?нибудь, например в дачу или за границей  (FL, 6193);FL;6193;хочет ездить за границей;gde
Сейчас я хотела бы путешествовать в Ню Йорк, Париж или Москве  (FL, 6193);FL;6193;путешествовать в Москве;gde
Открытая Европа и возможность путешествовать за границей без виз мне всегда самое натуральное дело  (FL, 5093);FL;5093;путешествовать за границей;gde
Я мечтал о путешествиях в космосе или о приключениях в каком?то вольшебном королевстве  (FL, 4997);FL;4997;путешествиях в космосе;gde
Всё в порядке, самого вам хорошего путешествия в Финляндии  (FL, 5028);FL;5028;путешествия в Финляндии;gde
Каждый год я пытаюсь путешествовать тоже раз или два дальше за границей (FL, 4699). (FL, 4699);FL;4699;путешествовать за границей;gde
минут от города можно делать поход в горах и любоваться большим алматинским озером  (FL, 6079);FL;6079;делать в поход в горах;gde
На походах стоят пойти вместе несколько людей и говорят громко  (FL, 6275);FL;6275;на походах стоит пойти вместе;gde
Наша студенческая группа решил организовать поездку в Санкт?Петербурге  (FL, 5058);FL;5058;организовать поездку в Санкт-Петербурге;gde
Мы также заказывали заранее экскурсию по городу пешком и поездку на пустыне и на ближайших городах  (FL, 4954);FL;4954;поездка на ближайших городах;gde
Когда он возвращался в России, его встретили как герой  (FL, 4766);FL;4766;он возвращался в России;gde
После пяти дней мы вернулись в Петербурге и потом домой  (FL, 4561);FL;4561;вернулись в Петербурге;gde
Он положил свои руки на столе трибуны и сохранил серьезную позу до конца выступления  (FL, 4708);FL;4708;положил руки на столе;gde
Продавщица положила матрёшку на столе и одну минуту я была сконфуженной, я не знала, что делать  (FL, 4548);FL;4548;положила матрешку на столе;gde
Сама я решила пока не работать, а поставила здоровье и самочувствие на первом месте  (FL, 4595);FL;4595;поставила на первом месте;gde
В одном расскажут о ссоре, которая тронут тот, надо было бы вести более энергии с России в Финлаяндии  (FL, 4709);FL;4709;вести энергии в Финляндии;gde
Бабушка тянула меня в приёме вуза, проверила что я знаю как вернутся домой, и ушла  (FL, 4981);FL;4981;тянула меня в приеме вуза;gde
В тюрьме он заболел и поэтому его переместили в другой тюрьме  (FL, 4766);FL;4766;переместили в другой тюрьме;gde
Помню только, что Александр привлекал много иностранного капитала в России  (FL, 4477);FL;4477;привлекал в России;gde
Я слушался ей и села на своём кресле  (FL, 6154);FL;6154;села на своём кресле;gde
Построил ему красивый гроб, в котором Анатолий ложится в светлом платье  (FL, 4685);FL;4685;в котором ложится в светлом платье;gde
Мы стали лучшими подругами, и когда было пора начать обучение в настоящей школе, мы попали в том же классе  (FL, 4628);FL;4628;попали в том же классе;gde
В самом деле она углубляется в языке власти  (FL, 5041);FL;5041;углубляется в языке власти;gde
Его дом находится в Порвоо, где туристы могут посещать, потому что в настоящее время ето дом?музей Рунеберга  (FL, 5015);FL;5015;где туристы могут посещать;gde
Cтена потерял свой смысл и миллиони гражданы ГДР посетили в Западе  (FL, 4910);FL;4910;ГДР посетили в Западе;gde
Она никогда даже не помнила кто я, когда мы с папой посещали у нее в лечебнице, так что это было трудно познакомиться с ней  (FL, 4965);FL;4965;кто я, когда мы с папой посещали у нее в лечебнице;gde
Например в Финляндий его семья посетили много раз  (FL, 4744);FL;4744;в Финляндий посетили;gde
Она посешает 4 раз в год в России  (FL, 4741);FL;4741;посещает в России;gde
Вы часто посешаете в России и где там последный раз посешали?  (FL, 4740);FL;4740;там последный раз посешали?;gde
Так, я решила поступать в университете  (FL, 4462);FL;4462;поступать в университете;gde
Я слушала, что ты поступил в университете, да?  (FL, 4658);FL;4658;в университете;gde
Я и Эмилия поступали в школе с углубленным изучением изобразительного искусства, и мы обе поступили туда  (FL, 6247);FL;6247;и Эмилия поступали в школе с углубленным изучением изобразительного искусства;gde
В 2013 году Сами поступил в гимназии Кангасалы  (FL, 6077);FL;6077;поступил в гимназии;gde
После окончания неполной средней школы он поступил учиться в гимназии  (FL, 6083);FL;6083;учиться в гимназии;gde
После начальной школы я поступил в среднюю школу и после этого в гимназии  (FL, 4981);FL;4981;этого в гимназии;gde
По его внешностью я могу сказать что он не очень красивый и не аккуратный, хотя у него происхождение в более высоком классе общества  (FL, 4467);FL;4467;высоком классе общества;gde
Весной я была готова в гимназии но ещё хотела русскии язык изучать и учиться в университете  (FL, 4680);FL;4680;учиться в университете;gde
Хельсинки всё?таки довольно маленькое место если посмотрим на других городах в мире  (FL, 4506);FL;4506;ездить в мире;gde
Он старался смотреть много на людях вокруг его и он говорил мало руками  (FL, 4706);FL;4706;говорил мало руками;gde
Я сильно уважаю его положительный взгляд на жизни  (FL, 4607);FL;4607;взгляд на жизни;gde
Она смотрит телевизор, или себя на зеркале, я не уверена  (FL, 5037);FL;5037;смотрит на зеркале;gde
Одна мышь заглядывает за трубой, видно только уши и усы  (FL, 4538);FL;4538;заглядывает за трубой;gde
Две мыши стояли рядом с кроватью и одна мышь смотрела сзади занавесками  (FL, 4796);FL;4796;смотрела сзади занавесками;gde
Эти школы недалеко друг от друга, они можно видеть в одном взгляде  (FL, 4981);FL;4981;в одном взгляде;gde
Вся пестрота и разнообразность жизни бросается впереди гласами очень симпатичным, жизнерадостным образом  (FL, 5041);FL;5041;бросается впереди глазами;gde
А вне окна рассматривает ее подруга!  (FL, 6155);FL;6155;вне окна рассматривает ее подруга;gde
Описание в фильме очень красивое и эффектное потому, что в фильме мы можем видеть как сольнце светит на длинних тундрах и природа в конце концов большее чем люди  (FL, 4745);FL;4745;светит на длинных тундрах;gde
Ещё он хочет написать письмо своей дорогой девушке далеко на севере, не имеющей компютера  (FL, 4782);FL;4782;написать девушке далеко на севере;gde
Он пишет письму на брате, кого живет в Америке  (FL, 4521);FL;4521;пишет письму на брате;gde
У мужчин была задача содержать семью, и ведущая роль в материальном обеспечении семьи отводилась на мужчине  (FL, 4724);FL;4724;отводилась на мужчине;gde
Добро пожаловать в нашем университете, уважаема профессор Павлова!  (FL, 6158);FL;6158;добро пожаловать в университете;gde
Добро пожаловать в Питере и нашу фирму  (FL, 4946);FL;4946;добро пожаловать в питере;gde
Наверно, в этом влияет множество факторов, о которых Челябинский говорит — понимание мира, время и пространство  (FL, 4704);FL;4704;в этом влияет;gde
Можно сказать, что быть самый старший ребёнок в своей семье значительно влияло в том, каким человеком я сейчас  (FL, 5074);FL;5074; значительно влияло в том;gde
Позже я начинала подумать, что влияние таких артистов в моем жизни не должно быть так сильным  (FL, 5077);FL;5077;влияние в моем жизни;gde
Потому что там более трудный влиять на делах стран  (FL, 4605);FL;4605;влиять на делах стран;gde
Проблем в Финляндии сейчас, люди не верят, что они могут влиять на политике  (FL, 4846);FL;4846;влиять на политике;gde
Вопрос о русских в Финляндии и почему они не хотят влиять на обшестве  (FL, 4741);FL;4741;влиять на обществе;gde
Я уверена, что у всех много людей, которые влияют на нашей жизни  (FL, 4696);FL;4696;влияют на нашей жизни;gde
По?моему расизм будет влият на нашей модернизации в Финляндии  (FL, 4742);FL;4742;ездить в Финляндии;gde
Низовые движения или просвещенный человек на власти не могут влият на модернизации  (FL, 4742);FL;4742;влият на модернизации;gde
Но и характеристики участников в разговоре влияет на общении — их возраст, пол, экономический статус и так далее  (FL, 4704);FL;4704;разговоре влияет на общении — их возраст, пол;gde
Не могу называть только одного человека, оказавщего наиболее влияание на мою жизни — их много  (FL, 4859);FL;4859;оказать влияние на мою жизни;gde
Особенно молодые люди подвергаются под влиянием языка СМИ  (FL, 5041);FL;5041;подвергаются под влиянием;gde
Сейчас этот предмет только начинается в седмом или восьмом классе — это совесит на школе и я думаю, что это очень поздно  (FL, 4575);FL;4575;зависит на школе;gde
Формы обращения очень важное дело в России и в этом связано много правил  (FL, 5043);FL;5043;в этом связано;gde
"Главной причиной в том не трудно найти; рабочее место в Финляндии не легко найти и становится конкурентоспособным на рынке труда  (FL, 4463)";FL;4463;причиной в том;gde
Но в России Pussy Riot получил наказание в том, что они играли в церкве  (FL, 4743);FL;4743;в России Pussy Riot получил наказание в том;gde
